时间/h,0 cm,0.5 cm,1 cm,1.5 cm,2 cm
6.0,1.0171293547256268,0.9883652819197833,0.901966757973725,0.7558615153466111,0.5344819939921981
12.0,0.4556815358398558,0.442731045589208,0.40274458679391584,0.32957778732718745,0.16454362482278798
18.0,0.2983404520950901,0.291069941899453,0.2682907631287318,0.2249857391896023,0.08439088607954022
24.0,0.23735230236904808,0.23230752805808932,0.21633994584366786,0.1852440375053851,0.06633903408637867
30.0,0.20542677639592954,0.20145999865455005,0.18881868804088148,0.16380673603385096,0.059694979922642166
36.0,0.1855190594457797,0.182181010482838,0.17149268182567262,0.1501095393364182,0.056499810673301766
42.0,0.1717371057179738,0.16881203631545347,0.1594129852386489,0.14045386644994293,0.05470436816055266
48.0,0.16152216856636578,0.15889052736567424,0.15041110355975937,0.13319690561541872,0.05358677455326477
54.0,0.1535811321714085,0.15116976453371564,0.1433828569026799,0.1274923536571982,0.05283898687097824
57.2107679919847,0.14999377538932762,0.1476795912831718,0.1401988509997464,0.1248964257121719,0.05253480111408649
