time_h,r_0.0_cm,r_0.5_cm,r_1.0_cm,r_1.5_cm,surface
6.00000000,1.71722376,1.53568533,1.02171250,,0.42170416
12.00000000,0.73434884,0.65182962,0.40693048,,0.16667793
18.00000000,0.40663908,0.36683839,0.23878780,,0.08886484
24.00000000,0.28374309,0.25986097,0.17832440,,0.06709696
30.00000000,0.22533844,0.20851409,0.14875864,,0.05929512
36.00000000,0.19205328,0.17897509,0.13124833,,0.05579014
42.00000000,0.17061239,0.15981250,0.11962859,,0.05394342
48.00000000,0.15561723,0.14632950,0.11125813,,0.05285802
50.88333333,0.14989041,0.14116113,0.10800317,,0.05248956
